Affine/Q4
Subset [pixels];Selected Point Horizontal Displacement: U
23;41.2195854187012
25;41.1891212463379
27;41.1696472167969
29;41.1747016906738
31;41.1862258911133
31;41.0512504577637
33;41.1772880554199
33;41.0676078796387
35;41.1738548278809
35;41.0747299194336
37;41.1718788146973
37;41.0747871398926
39;41.1725959777832
39;41.0621566772461
41;41.176513671875
41;41.0461502075195
31;41.0512504577637
33;41.0676078796387
35;41.0747299194336
37;41.0747871398926
39;41.0621566772461
41;41.0461502075195
31;41.0512504577637
33;41.0676078796387
35;41.0747299194336
37;41.0747871398926
39;41.0621566772461
41;41.0461502075195
Quadratic/Q8
Subset [pixels];Selected Point Horizontal Displacement: U
15;41.2587738037109
17;41.1986656188965
19;41.0816497802734
21;41.2335548400879
23;41.2519264221191
15;41.2587738037109
25;41.2361831665039
17;41.1986656188965
27;41.1921310424805
19;41.0816497802734
29;41.1697807312012
21;41.2335548400879
31;41.1523475646973
23;41.2519264221191
33;41.1562347412109
15;41.2587738037109
25;41.2361831665039
35;41.1754302978516
17;41.1986656188965
27;41.1921310424805
37;41.1772270202637
19;41.0816497802734
29;41.1697807312012
39;41.1852188110352
21;41.2335548400879
21;41.2596626281738
31;41.1523475646973
41;41.189266204834
23;41.2519264221191
23;41.2195854187012
33;41.1562347412109
15;41.2587738037109
25;41.2361831665039
25;41.1891212463379
35;41.1754302978516
17;41.1986656188965
27;41.1921310424805
27;41.1696472167969
37;41.1772270202637
19;41.0816497802734
29;41.1697807312012
29;41.1747016906738
39;41.1852188110352
21;41.2335548400879
31;41.1523475646973
31;41.1862258911133
41;41.189266204834
23;41.2519264221191
33;41.1562347412109
33;41.1772880554199
15;41.2587738037109
25;41.2361831665039
35;41.1754302978516
35;41.1738548278809
17;41.1986656188965
27;41.1921310424805
37;41.1772270202637
37;41.1718788146973
19;41.0816497802734
29;41.1697807312012
39;41.1852188110352
39;41.1725959777832
21;41.2335548400879
21;41.2596626281738
31;41.1523475646973
41;41.189266204834
41;41.176513671875
23;41.2519264221191
23;41.2195854187012
33;41.1562347412109
25;41.2361831665039
25;41.1891212463379
35;41.1754302978516
27;41.1921310424805
27;41.1696472167969
37;41.1772270202637
29;41.1697807312012
29;41.1747016906738
39;41.1852188110352
31;41.1523475646973
31;41.1862258911133
31;41.0512504577637
41;41.189266204834
33;41.1562347412109
33;41.1772880554199
33;41.0676078796387
35;41.1754302978516
35;41.1738548278809
35;41.0747299194336
37;41.1772270202637
37;41.1718788146973
37;41.0747871398926
39;41.1852188110352
39;41.1725959777832
39;41.0621566772461
21;41.2596626281738
41;41.189266204834
41;41.176513671875
41;41.0461502075195
23;41.2195854187012
25;41.1891212463379
27;41.1696472167969
29;41.1747016906738
31;41.1862258911133
33;41.1772880554199
35;41.1738548278809
37;41.1718788146973
39;41.1725959777832
21;41.2596626281738
31;41.0512504577637
41;41.176513671875
23;41.2195854187012
33;41.0676078796387
25;41.1891212463379
35;41.0747299194336
27;41.1696472167969
37;41.0747871398926
29;41.1747016906738
39;41.0621566772461
31;41.1862258911133
41;41.0461502075195
33;41.1772880554199
35;41.1738548278809
37;41.1718788146973
39;41.1725959777832
21;41.2596626281738
41;41.176513671875
23;41.2195854187012
25;41.1891212463379
27;41.1696472167969
29;41.1747016906738
31;41.1862258911133
31;41.0512504577637
33;41.1772880554199
33;41.0676078796387
35;41.1738548278809
35;41.0747299194336
37;41.1718788146973
37;41.0747871398926
39;41.1725959777832
39;41.0621566772461
41;41.176513671875
41;41.0461502075195
31;41.0512504577637
33;41.0676078796387
35;41.0747299194336
37;41.0747871398926
39;41.0621566772461
41;41.0461502075195
31;41.0512504577637
33;41.0676078796387
35;41.0747299194336
37;41.0747871398926
39;41.0621566772461
41;41.0461502075195
