Affine/Q4
VSG [pixels];Selected Point Strain component: Eyy
Affine/Q8
VSG [pixels];Selected Point Strain component: Eyy
35;0.241956874728203
37;0.252354979515076
39;0.257307499647141
41;0.20628035068512
43;0.205139055848122
45;0.230243071913719
45;0.203632339835167
47;0.235592782497406
47;0.203606471419334
49;0.234410926699638
49;0.196238249540329
51;0.198146119713783
51;0.182819724082947
53;0.194449529051781
53;0.180944189429283
55;0.206868007779121
55;0.192588686943054
55;0.180408492684364
57;0.207961142063141
57;0.191683709621429
57;0.179516732692719
59;0.20446015894413
59;0.184588730335236
59;0.178625047206879
61;0.188066974282265
61;0.168586254119873
61;0.174466341733932
61;0.17684905230999
63;0.184820383787155
63;0.165908500552177
63;0.173405513167381
65;0.184503465890884
65;0.183596894145012
65;0.165270701050758
65;0.17351445555687
67;0.185118243098259
67;0.182490572333336
67;0.164590328931808
67;0.172922506928444
69;0.183011770248413
69;0.176146388053894
69;0.163266554474831
69;0.170928090810776
71;0.174183383584023
71;0.167938753962517
71;0.161595478653908
71;0.167330414056778
73;0.171630904078484
73;0.166386917233467
73;0.160758703947067
75;0.16626800596714
75;0.170884922146797
75;0.166208907961845
75;0.160240262746811
77;0.166808992624283
77;0.170076668262482
77;0.165463402867317
77;0.159026548266411
79;0.165809810161591
79;0.166409060359001
79;0.163309320807457
79;0.156203880906105
81;0.160840228199959
81;0.149422004818916
81;0.161736473441124
81;0.159847423434258
81;0.152787134051323
83;0.159495696425438
83;0.147596761584282
83;0.160332560539246
85;0.159268409013748
85;0.147196933627129
85;0.159957513213158
87;0.158879473805428
87;0.146799594163895
87;0.159021064639091
89;0.156605169177055
89;0.14606399834156
89;0.156749695539474
91;0.153528839349747
91;0.145112350583076
91;0.135150298476219
91;0.153529524803162
93;0.152215182781219
93;0.144633874297142
93;0.13496370613575
95;0.151759043335915
95;0.144307985901833
95;0.134759575128555
97;0.150959014892578
97;0.143463641405106
97;0.134401425719261
99;0.149298265576363
99;0.141471415758133
99;0.133875250816345
101;0.130896389484406
101;0.147039189934731
101;0.138990461826324
101;0.133157044649124
103;0.130135089159012
105;0.130006223917007
107;0.12984536588192
109;0.129484459757805
111;0.128872379660606
113;0.12847663462162
115;0.128114312887192
117;0.127483889460564
119;0.126281693577766
121;0.115027137100697
121;0.115448094904423
121;0.124835982918739
123;0.114585615694523
123;0.115275204181671
125;0.114457011222839
125;0.11508184671402
127;0.114310964941978
127;0.114752918481827
129;0.114106439054012
129;0.114305645227432
131;0.113746874034405
131;0.113775782287121
133;0.113478861749172
135;0.113192588090897
137;0.112742155790329
139;0.111993066966534
141;0.101684793829918
141;0.111137963831425
143;0.101400755345821
145;0.101298816502094
147;0.10119766741991
149;0.101110219955444
151;0.100910194218159
151;0.0975309759378433
153;0.10075019299984
153;0.097417525947094
155;0.100561238825321
155;0.0972761884331703
157;0.100249975919724
157;0.0970471575856209
159;0.0997454226016998
159;0.0967144221067429
161;0.0991891771554947
161;0.0963336378335953
181;0.0833213627338409
183;0.0832598805427551
185;0.0831708386540413
187;0.0830220952630043
189;0.0828056856989861
191;0.0825624391436577
211;0.0723000392317772
213;0.0722604244947433
215;0.072196789085865
217;0.0720968469977379
219;0.0719632804393768
221;0.0718083381652832
Quadratic/Q4
VSG [pixels];Selected Point Strain component: Eyy
25;0.235937297344208
27;0.177885666489601
29;0.0852085128426552
31;0.183416992425919
33;0.172984421253204
35;0.216427475214005
35;0.169781222939491
37;0.204440727829933
37;0.183861672878265
39;0.206140771508217
39;0.183248996734619
41;0.193982809782028
41;0.19980925321579
41;0.186839818954468
43;0.186839371919632
43;0.198589637875557
43;0.191957294940948
45;0.206151366233826
45;0.184000045061111
45;0.195177495479584
45;0.194856569170952
47;0.207927092909813
47;0.190089002251625
47;0.194224298000336
47;0.194685623049736
49;0.216953590512276
49;0.188710719347
49;0.194912523031235
49;0.196112602949142
51;0.201775938272476
51;0.191175147891045
51;0.194018319249153
51;0.198923900723457
53;0.197240665555
53;0.193113088607788
53;0.193074375391006
55;0.192716002464294
55;0.194088622927666
55;0.194371581077576
55;0.191100493073463
57;0.194009736180305
57;0.19515098631382
57;0.194272622466087
57;0.189917519688606
59;0.200311854481697
59;0.193331599235535
59;0.195242404937744
59;0.19059881567955
61;0.193221986293793
61;0.175784334540367
61;0.193794995546341
61;0.170075863599777
61;0.197238832712173
61;0.189691945910454
63;0.190361857414246
63;0.175774693489075
63;0.193168997764587
63;0.166772082448006
65;0.178687810897827
65;0.188139706850052
65;0.174068659543991
65;0.192342966794968
65;0.164579585194588
67;0.178781628608704
67;0.188012778759003
67;0.173523753881454
67;0.191798284649849
67;0.163690954446793
69;0.181723177433014
69;0.187187999486923
69;0.173705697059631
69;0.19254744052887
69;0.16380050778389
71;0.180110812187195
71;0.187353730201721
71;0.17380191385746
71;0.193318113684654
71;0.164093807339668
73;0.178597554564476
73;0.186409786343575
73;0.173411056399345
75;0.165518015623093
75;0.177380457520485
75;0.18525105714798
75;0.172849923372269
77;0.165651693940163
77;0.177163809537888
77;0.184650331735611
77;0.172824338078499
79;0.167279690504074
79;0.176637157797813
79;0.184871777892113
79;0.173555970191956
81;0.166421160101891
81;0.155722424387932
81;0.176715895533562
81;0.184954717755318
81;0.173672378063202
83;0.16548128426075
83;0.15583173930645
83;0.17599855363369
85;0.164821848273277
85;0.155138850212097
85;0.175186306238174
87;0.164695173501968
87;0.154602408409119
87;0.174814954400063
89;0.164519459009171
89;0.154216378927231
89;0.174949765205383
91;0.164804905653
91;0.154245898127556
91;0.142861992120743
91;0.174799054861069
93;0.164442867040634
93;0.153776586055756
93;0.141442969441414
95;0.164003849029541
95;0.153460517525673
95;0.140560284256935
97;0.163752421736717
97;0.153568029403687
97;0.140609785914421
99;0.163722157478333
99;0.153959050774574
99;0.141519963741302
101;0.134868755936623
101;0.163598567247391
101;0.153956428170204
101;0.142120182514191
103;0.134905189275742
105;0.134655833244324
107;0.134265810251236
109;0.133910685777664
111;0.134041845798492
113;0.133849292993546
115;0.133802905678749
117;0.134091258049011
119;0.134312272071838
121;0.117528513073921
121;0.118609681725502
121;0.134379968047142
123;0.117543801665306
123;0.118198677897453
125;0.117435120046139
125;0.117963917553425
127;0.117187492549419
127;0.118093594908714
129;0.11694024503231
129;0.118639677762985
131;0.116961188614368
131;0.119082406163216
133;0.116836376488209
135;0.116790801286697
137;0.116999007761478
139;0.117151021957397
141;0.103225074708462
141;0.117212496697903
143;0.10322629660368
145;0.103151462972164
147;0.103014700114727
149;0.102882452309132
151;0.102910846471786
151;0.0992326810956001
153;0.102843895554543
153;0.0990829765796661
155;0.102817140519619
155;0.0990063473582268
157;0.102954298257828
157;0.0991101264953613
159;0.103063762187958
159;0.0994278118014336
161;0.103126257658005
161;0.099716529250145
181;0.0843362808227539
183;0.0842767208814621
185;0.08425123244524
187;0.084307037293911
189;0.0844595059752464
191;0.0846061259508133
211;0.0729407742619514
213;0.0729161500930786
215;0.0729008689522743
217;0.0729261934757233
219;0.0730014592409134
221;0.0730819031596184
Quadratic/Q8
VSG [pixels];Selected Point Strain component: Eyy
35;0.233478501439095
37;0.213243171572685
39;0.200530707836151
