Affine/Q4
Subset [pixels];Selected Point Vertical Displacement: V
15;34.4489784240723
17;34.4350357055664
19;34.4638023376465
21;34.319164276123
23;34.3180694580078
15;34.4489784240723
25;34.3106689453125
17;34.4350357055664
27;34.3156814575195
19;34.4638023376465
29;34.3193550109863
21;34.319164276123
21;34.4634704589844
31;34.3281364440918
23;34.3180694580078
23;34.4575691223145
33;34.3478126525879
15;34.4489784240723
25;34.3106689453125
25;34.4543838500977
35;34.3633460998535
17;34.4350357055664
27;34.3156814575195
27;34.4527168273926
37;34.3770446777344
19;34.4638023376465
29;34.3193550109863
29;34.4796371459961
39;34.3954544067383
21;34.319164276123
31;34.3281364440918
31;34.4927024841309
41;34.4206848144531
23;34.3180694580078
33;34.3478126525879
33;34.4879875183105
15;34.4489784240723
25;34.3106689453125
35;34.3633460998535
35;34.4876937866211
17;34.4350357055664
27;34.3156814575195
37;34.3770446777344
37;34.4971389770508
19;34.4638023376465
29;34.3193550109863
39;34.3954544067383
39;34.5096778869629
21;34.319164276123
21;34.4634704589844
31;34.3281364440918
31;35.1713333129883
41;34.4206848144531
41;34.5181198120117
23;34.3180694580078
23;34.4575691223145
33;34.3478126525879
33;35.1707725524902
15;34.4489784240723
25;34.3106689453125
25;34.4543838500977
35;34.3633460998535
35;35.1763229370117
17;34.4350357055664
27;34.3156814575195
27;34.4527168273926
37;34.3770446777344
37;35.1750335693359
19;34.4638023376465
29;34.3193550109863
29;34.4796371459961
39;34.3954544067383
39;35.1734313964844
21;34.319164276123
31;34.3281364440918
31;34.4927024841309
41;34.4206848144531
41;35.1700820922852
23;34.3180694580078
33;34.3478126525879
33;34.4879875183105
15;34.4489784240723
25;34.3106689453125
35;34.3633460998535
35;34.4876937866211
17;34.4350357055664
27;34.3156814575195
37;34.3770446777344
37;34.4971389770508
19;34.4638023376465
29;34.3193550109863
39;34.3954544067383
39;34.5096778869629
21;34.319164276123
21;34.4634704589844
31;34.3281364440918
41;34.4206848144531
41;34.5181198120117
23;34.3180694580078
23;34.4575691223145
33;34.3478126525879
25;34.3106689453125
25;34.4543838500977
35;34.3633460998535
27;34.3156814575195
27;34.4527168273926
37;34.3770446777344
29;34.3193550109863
29;34.4796371459961
39;34.3954544067383
31;34.3281364440918
31;34.4927024841309
31;35.1713333129883
41;34.4206848144531
33;34.3478126525879
33;34.4879875183105
33;35.1707725524902
35;34.3633460998535
35;34.4876937866211
35;35.1763229370117
37;34.3770446777344
37;34.4971389770508
37;35.1750335693359
39;34.3954544067383
39;34.5096778869629
39;35.1734313964844
21;34.4634704589844
41;34.4206848144531
41;34.5181198120117
41;35.1700820922852
23;34.4575691223145
25;34.4543838500977
27;34.4527168273926
29;34.4796371459961
31;34.4927024841309
33;34.4879875183105
35;34.4876937866211
37;34.4971389770508
39;34.5096778869629
21;34.4634704589844
31;35.1713333129883
41;34.5181198120117
23;34.4575691223145
33;35.1707725524902
25;34.4543838500977
35;35.1763229370117
27;34.4527168273926
37;35.1750335693359
29;34.4796371459961
39;35.1734313964844
31;34.4927024841309
41;35.1700820922852
33;34.4879875183105
35;34.4876937866211
37;34.4971389770508
39;34.5096778869629
21;34.4634704589844
41;34.5181198120117
23;34.4575691223145
25;34.4543838500977
27;34.4527168273926
29;34.4796371459961
31;34.4927024841309
31;35.1713333129883
33;34.4879875183105
33;35.1707725524902
35;34.4876937866211
35;35.1763229370117
37;34.4971389770508
37;35.1750335693359
39;34.5096778869629
39;35.1734313964844
41;34.5181198120117
41;35.1700820922852
31;35.1713333129883
33;35.1707725524902
35;35.1763229370117
37;35.1750335693359
39;35.1734313964844
41;35.1700820922852
31;35.1713333129883
33;35.1707725524902
35;35.1763229370117
37;35.1750335693359
39;35.1734313964844
41;35.1700820922852
Affine/Q8
Subset [pixels];Selected Point Vertical Displacement: V
15;34.4489784240723
17;34.4350357055664
19;34.4638023376465
21;34.319164276123
23;34.3180694580078
15;34.4489784240723
25;34.3106689453125
17;34.4350357055664
27;34.3156814575195
19;34.4638023376465
29;34.3193550109863
21;34.319164276123
31;34.3281364440918
23;34.3180694580078
33;34.3478126525879
15;34.4489784240723
25;34.3106689453125
35;34.3633460998535
17;34.4350357055664
27;34.3156814575195
37;34.3770446777344
19;34.4638023376465
29;34.3193550109863
39;34.3954544067383
21;34.319164276123
21;34.4634704589844
31;34.3281364440918
41;34.4206848144531
23;34.3180694580078
23;34.4575691223145
33;34.3478126525879
15;34.4489784240723
25;34.3106689453125
25;34.4543838500977
35;34.3633460998535
17;34.4350357055664
27;34.3156814575195
27;34.4527168273926
37;34.3770446777344
19;34.4638023376465
29;34.3193550109863
29;34.4796371459961
39;34.3954544067383
21;34.319164276123
31;34.3281364440918
31;34.4927024841309
41;34.4206848144531
23;34.3180694580078
33;34.3478126525879
33;34.4879875183105
15;34.4489784240723
25;34.3106689453125
35;34.3633460998535
35;34.4876937866211
17;34.4350357055664
27;34.3156814575195
37;34.3770446777344
37;34.4971389770508
19;34.4638023376465
29;34.3193550109863
39;34.3954544067383
39;34.5096778869629
21;34.319164276123
21;34.4634704589844
31;34.3281364440918
41;34.4206848144531
41;34.5181198120117
23;34.3180694580078
23;34.4575691223145
33;34.3478126525879
25;34.3106689453125
25;34.4543838500977
35;34.3633460998535
27;34.3156814575195
27;34.4527168273926
37;34.3770446777344
29;34.3193550109863
29;34.4796371459961
39;34.3954544067383
31;34.3281364440918
31;34.4927024841309
31;35.1713333129883
41;34.4206848144531
33;34.3478126525879
33;34.4879875183105
33;35.1707725524902
35;34.3633460998535
35;34.4876937866211
35;35.1763229370117
37;34.3770446777344
37;34.4971389770508
37;35.1750335693359
39;34.3954544067383
39;34.5096778869629
39;35.1734313964844
21;34.4634704589844
41;34.4206848144531
41;34.5181198120117
41;35.1700820922852
23;34.4575691223145
25;34.4543838500977
27;34.4527168273926
29;34.4796371459961
31;34.4927024841309
33;34.4879875183105
35;34.4876937866211
37;34.4971389770508
39;34.5096778869629
21;34.4634704589844
31;35.1713333129883
41;34.5181198120117
23;34.4575691223145
33;35.1707725524902
25;34.4543838500977
35;35.1763229370117
27;34.4527168273926
37;35.1750335693359
29;34.4796371459961
39;35.1734313964844
31;34.4927024841309
41;35.1700820922852
33;34.4879875183105
35;34.4876937866211
37;34.4971389770508
39;34.5096778869629
21;34.4634704589844
41;34.5181198120117
23;34.4575691223145
25;34.4543838500977
27;34.4527168273926
29;34.4796371459961
31;34.4927024841309
31;35.1713333129883
33;34.4879875183105
33;35.1707725524902
35;34.4876937866211
35;35.1763229370117
37;34.4971389770508
37;35.1750335693359
39;34.5096778869629
39;35.1734313964844
41;34.5181198120117
41;35.1700820922852
31;35.1713333129883
33;35.1707725524902
35;35.1763229370117
37;35.1750335693359
39;35.1734313964844
41;35.1700820922852
31;35.1713333129883
33;35.1707725524902
35;35.1763229370117
37;35.1750335693359
39;35.1734313964844
41;35.1700820922852
Quadratic/Q4
Subset [pixels];Selected Point Vertical Displacement: V
15;34.3398361206055
17;34.5563621520996
19;34.3788833618164
21;34.2927856445313
23;34.2317047119141
15;34.3398361206055
25;34.3245849609375
17;34.5563621520996
27;34.4454956054688
19;34.3788833618164
29;34.4231872558594
21;34.2927856445313
21;34.127010345459
31;34.4100189208984
23;34.2317047119141
23;34.1810722351074
33;34.3407783508301
15;34.3398361206055
25;34.3245849609375
25;34.2485275268555
35;34.303394317627
17;34.5563621520996
27;34.4454956054688
27;34.3090629577637
37;34.3328628540039
19;34.3788833618164
29;34.4231872558594
29;34.3027534484863
39;34.3304977416992
21;34.2927856445313
31;34.4100189208984
31;34.2993087768555
41;34.3461227416992
23;34.2317047119141
33;34.3407783508301
33;34.2623672485352
15;34.3398361206055
25;34.3245849609375
35;34.303394317627
35;34.3015289306641
17;34.5563621520996
27;34.4454956054688
37;34.3328628540039
37;34.3273735046387
19;34.3788833618164
29;34.4231872558594
39;34.3304977416992
39;34.3099708557129
21;34.2927856445313
21;34.127010345459
31;34.4100189208984
31;35.1998023986816
41;34.3461227416992
41;34.3275032043457
23;34.2317047119141
23;34.1810722351074
33;34.3407783508301
33;35.1598091125488
15;34.3398361206055
25;34.3245849609375
25;34.2485275268555
35;34.303394317627
35;35.1868896484375
17;34.5563621520996
27;34.4454956054688
27;34.3090629577637
37;34.3328628540039
37;35.1848068237305
19;34.3788833618164
29;34.4231872558594
29;34.3027534484863
39;34.3304977416992
39;35.1862983703613
21;34.2927856445313
31;34.4100189208984
31;34.2993087768555
41;34.3461227416992
41;35.1797256469727
23;34.2317047119141
33;34.3407783508301
33;34.2623672485352
15;34.3398361206055
25;34.3245849609375
35;34.303394317627
35;34.3015289306641
17;34.5563621520996
27;34.4454956054688
37;34.3328628540039
37;34.3273735046387
19;34.3788833618164
29;34.4231872558594
39;34.3304977416992
39;34.3099708557129
21;34.2927856445313
21;34.127010345459
31;34.4100189208984
41;34.3461227416992
41;34.3275032043457
23;34.2317047119141
23;34.1810722351074
33;34.3407783508301
25;34.3245849609375
25;34.2485275268555
35;34.303394317627
27;34.4454956054688
27;34.3090629577637
37;34.3328628540039
29;34.4231872558594
29;34.3027534484863
39;34.3304977416992
31;34.4100189208984
31;34.2993087768555
31;35.1998023986816
41;34.3461227416992
33;34.3407783508301
33;34.2623672485352
33;35.1598091125488
35;34.303394317627
35;34.3015289306641
35;35.1868896484375
37;34.3328628540039
37;34.3273735046387
37;35.1848068237305
39;34.3304977416992
39;34.3099708557129
39;35.1862983703613
21;34.127010345459
41;34.3461227416992
41;34.3275032043457
41;35.1797256469727
23;34.1810722351074
25;34.2485275268555
27;34.3090629577637
29;34.3027534484863
31;34.2993087768555
33;34.2623672485352
35;34.3015289306641
37;34.3273735046387
39;34.3099708557129
21;34.127010345459
31;35.1998023986816
41;34.3275032043457
23;34.1810722351074
33;35.1598091125488
